ID,Compound Name,Primary Therapeutic Area,Primary Mechanism of Action,TASS Score,MANS Score,Disease similarity,Rationale for Scores
125,Bosentan,Pulmonary Arterial Hypertension (PAH),Endothelin Receptor Antagonist,3.3,9.8,0.9,"TA: A specific form of hypertension, a distant cardiovascular link. MoA: Endothelin pathway blockade is unrelated to GLP-1 signaling."
126,Bosutinib,Chronic Myeloid Leukemia (CML),"Tyrosine Kinase Inhibitor (BCR-ABL, Src)",0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition is distinct, though some kinases are involved in metabolic signaling."
127,Brimonidine,"Glaucoma, Rosacea",Alpha-2 Adrenergic Receptor Agonist,0,9.8,0,"TA: Ophthalmology/dermatology, unrelated. MoA: Adrenergic agonism is distinct from GLP-1 signaling."
128,Brinzolamide,Glaucoma,Carbonic Anhydrase Inhibitor,0,9.8,0,"TA: Ophthalmology, unrelated. MoA: Enzyme inhibition affecting ion transport is unrelated to GLP-1 signaling."
129,Brivaracetam,Epilepsy,Anticonvulsant (SV2A Ligand),0,9.7,0,"TA: Neurology, unrelated. MoA: Binds to synaptic vesicle protein 2A, unrelated to GLP-1 signaling."
130,Bromelain,"Inflammation, Swelling",Proteolytic Enzyme,0.5,10,0.5,"TA: Anti-inflammatory, unrelated. Minimal score for link to inflammation. MoA: Enzymatic protein degradation is unrelated to endocrine signaling."
131,Bromfenac,Ocular Pain/Inflammation,Non-Steroidal Anti-inflammatory Drug (NSAID),0,9.4,0,"TA: Ophthalmology, unrelated. MoA: Topical COX inhibition is distinct from systemic GLP-1 agonism."
132,Bromhexine,Productive Cough,Mucolytic,0,10,0,"TA: Respiratory symptom relief, unrelated. MoA: Breaks down mucus fibers, unrelated to metabolic pathways."
133,Bromocriptine,"Parkinson's, Hyperprolactinemia, T2DM",Dopamine D2 Receptor Agonist,7.1,6.2,8.5,"TA: Approved for T2DM, a key comorbidity. MoA: Central dopamine agonism is a non-hormonal mechanism that can affect appetite and metabolism."
134,Buclizine,"Nausea, Vertigo, Appetite Stimulation","Antihistamine, Anticholinergic",1.2,9.7,1.2,"TA: Antiemetic/appetite stimulant, unrelated. Score reflects appetite effect. MoA: Histamine/muscarinic antagonism is distinct from GLP-1."
135,Budesonide,"Asthma, Crohn's Disease",Corticosteroid,0.3,9.9,1,"TA: Inflammatory conditions, unrelated. MoA: Glucocorticoid receptor agonism can cause weight gain, but is mechanistically distinct from GLP-1."
136,Bupivacaine,Local/Regional Anesthesia,Local Anesthetic (Sodium Channel Blocker),0,10,0,"TA: Local pain relief, unrelated. MoA: Blocks neuronal sodium channels, completely unrelated to endocrine signaling."
137,Buprenorphine,"Opioid Dependence, Pain",Partial Mu-Opioid Receptor Agonist,0,9.8,0.5,"TA: Pain/addiction, unrelated. MoA: Opioid receptor modulation is distinct from GLP-1 signaling."
138,Bupropion,"Depression, Smoking Cessation",Norepinephrine-Dopamine Reuptake Inhibitor (NDRI),2.5,6,3.5,"TA: Unrelated. Score reflects off-label use for weight loss (e.g., in Contrave). MoA: A non-hormonal central appetite suppressant mechanism."
139,Buserelin,"Prostate Cancer, Endometriosis",Gonadotropin-Releasing Hormone (GnRH) Agonist,0,9.9,0,"TA: Oncology/gynecology, unrelated. MoA: Modulation of the HPG axis is distinct from the incretin system."
140,Buspirone,Anxiety Disorders,Serotonin 5-HT1A Receptor Partial Agonist,1.1,9.6,0.8,"TA: Psychiatry, unrelated. Minimal score as anxiety can influence eating behaviors. MoA: Serotonergic modulation is distinct from GLP-1 agonism."
141,Busulfan,Chronic Myeloid Leukemia (CML),Alkylating Agent,0,10,0,"TA: Oncology, unrelated. MoA: Causes DNA damage in cancer cells, unrelated to metabolic pathways."
142,Butorphanol,Pain,Opioid Agonist-Antagonist,0,9.8,0,"TA: Pain management, unrelated. MoA: Opioid receptor modulation is distinct from GLP-1 signaling."
143,Cabazitaxel,Prostate Cancer,Taxane Antineoplastic (Microtubule Inhibitor),0,10,0,"TA: Oncology, unrelated. MoA: Disrupts microtubule function, unrelated to metabolic pathways."
144,Cabergoline,"Hyperprolactinemia, Parkinson's",Dopamine D2 Receptor Agonist,0.2,6.2,0.9,"TA: Endocrine/neurology, unrelated. MoA: Central dopamine agonism can affect appetite/metabolism."
145,Cabozantinib,"Various Cancers (e.g., RCC, HCC)","Tyrosine Kinase Inhibitor (VEGFR, MET, AXL)",0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition is distinct, though some kinases are involved in metabolic signaling."
146,Cadexomer Iodine,Wound Cleaning,Antiseptic (Iodine-releasing),0,10,2,"TA: Topical antiseptic, unrelated. MoA: Non-specific antimicrobial action of iodine."
147,Caffeine,"CNS Stimulant, Apnea of Prematurity","Adenosine Receptor Antagonist, PDE Inhibitor",0.4,9.7,1.2,"TA: CNS stimulation, unrelated. Minimal score for known metabolic effects (e.g., thermogenesis). MoA: Adenosine antagonism/PDE inhibition is distinct from GLP-1."
148,Calcium,Nutritional Supplement,Mineral Supplement,0,10,0.6,"TA: Nutrition, unrelated. MoA: Acts as a mineral/electrolyte, not a pharmacological signaling molecule in this context."
149,Calcium Acetate,Hyperphosphatemia in ESRD,Phosphate Binder,3.2,10,2.7,"TA: Treats a complication of CKD, a relevant comorbidity. MoA: Binds dietary phosphate in the GI tract, a physical/chemical action."
150,Calcium Carbonate,"Antacid, Calcium Supplement","Antacid, Mineral Supplement",0,10,0.6,"TA: GI symptom relief/nutrition, unrelated. MoA: Chemical neutralization of acid/mineral supplementation."
151,Calcium Citrate,Calcium Supplement,Mineral Supplement,0,10,0.6,"TA: Nutrition, unrelated. MoA: Mineral supplementation."
152,Calcium Citrate Malate,Calcium Supplement,Mineral Supplement,0,10,0.6,"TA: Nutrition, unrelated. MoA: Mineral supplementation."
153,Calcium Dobesilate,"Chronic Venous Insufficiency, Diabetic Retinopathy",Vasoprotective,3.8,9.9,2.8,"TA: Treats a complication of T2DM. MoA: Unclear, thought to improve capillary function, unrelated to GLP-1."
154,Calcium Gluconate,"Hypocalcemia, Hyperkalemia",Mineral Supplement,0,10,0,"TA: Electrolyte imbalance, unrelated. MoA: Provides calcium ions."
155,Calcium Leucovorin,"Methotrexate Rescue, Colorectal Cancer",Folic Acid Analog,0,10,0,"TA: Oncology support, unrelated. MoA: Bypasses dihydrofolate reductase inhibition."
156,Calcium Polystyrene Sulphonate,Hyperkalemia,Potassium Binder,3.1,10,2.5,"TA: Treats a complication of CKD/medications for comorbidities. MoA: Binds potassium in the GI tract, a physical/chemical action."
157,Camylofin,Antispasmodic,"Anticholinergic, Smooth Muscle Relaxant",0,9.8,0,"TA: GI/GU spasm relief, unrelated. MoA: Anticholinergic action is distinct from GLP-1."
158,Canagliflozin,Type 2 Diabetes,SGLT2 Inhibitor,8.8,8,9.7,TA: T2DM with significant weight loss and CV risk reduction benefits. MoA: Peripheral mechanism (renal glucose excretion) is very different from GLP-1.
159,Candesartan,"Hypertension, Heart Failure",Angiotensin II Receptor Blocker (ARB),5.2,9.8,7.6,"TA: Treats hypertension and heart failure, key comorbidities. MoA: Inhibition of the RAAS pathway is distinct from GLP-1 agonism."
160,Capecitabine,"Breast, Colorectal Cancer",Antineoplastic (Prodrug of 5-Fluorouracil),0,10,0,"TA: Oncology, unrelated. MoA: Antimetabolite that interferes with DNA synthesis."
161,Capreomycin,Tuberculosis,Polypeptide Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
162,Captopril,"Hypertension, Heart Failure",Angiotensin-Converting Enzyme (ACE) Inhibitor,5.2,9.8,7.8,"TA: Treats hypertension and heart failure, key comorbidities. MoA: Inhibition of the RAAS pathway is distinct from GLP-1 agonism."
163,Carbamazepine,"Epilepsy, Bipolar Disorder, Neuropathic Pain",Anticonvulsant (Sodium Channel Blocker),0,9.7,0.9,"TA: Neurology/psychiatry, unrelated. MoA: Blocks neuronal sodium channels."
164,Carbazochrome,Hemostatic,Hemostatic,0,10,0,"TA: Hemostasis, unrelated. MoA: Thought to increase platelet aggregation via adrenoreceptors."
165,Carbimazole,Hyperthyroidism,Antithyroid Agent (Prodrug of Methimazole),0.4,9.9,2.9,"TA: Thyroid disease, a distinct metabolic condition. MoA: Inhibits thyroid hormone synthesis."
166,Carboplatin,Various Cancers,Alkylating Agent (Platinum-based),0,10,0,"TA: Oncology, unrelated. MoA: Forms DNA crosslinks."
167,Carboxymethylcellulose,Dry Eyes,Ocular Lubricant,0,10,0,"TA: Ophthalmology, unrelated. MoA: Physical lubrication of the eye surface."
168,Carfilzomib,Multiple Myeloma,Proteasome Inhibitor,0,9.2,0,"TA: Oncology, unrelated. MoA: Inhibition of the proteasome."
169,Cariprazine,"Schizophrenia, Bipolar Disorder",Atypical Antipsychotic (D3/D2 Partial Agonist),1.4,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects potential for metabolic side effects. MoA: Dopamine/serotonin modulation."
170,Carisoprodol,Musculoskeletal Pain,Skeletal Muscle Relaxant,0,9.7,0,"TA: Pain management, unrelated. MoA: CNS depressant, mechanism not fully clear."
171,Carmustine,"Brain Tumors, Lymphoma",Alkylating Agent (Nitrosourea),0,10,0,"TA: Oncology, unrelated. MoA: Causes DNA damage."
172,Caroverine,"Tinnitus, Spasms","NMDA/AMPA Antagonist, Calcium Channel Blocker",0,9.7,0,"TA: Otology/neurology, unrelated. MoA: Glutamate and calcium channel blockade."
173,Carvedilol,"Heart Failure, Hypertension",Non-selective Beta Blocker / Alpha-1 Blocker,5.2,9.8,7.2,"TA: Treats heart failure and hypertension, key comorbidities. MoA: Adrenergic blockade."
174,Caspofungin,Invasive Fungal Infections,Echinocandin Antifungal (Glucan Synthase Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of fungal cell wall synthesis."
175,Cefaclor,Bacterial Infections,2nd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
176,Cefadroxil,Bacterial Infections,1st Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
177,Cefalexin,Bacterial Infections,1st Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
178,Cefazolin,Bacterial Infections,1st Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
179,Cefdinir,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
180,Cefditoren,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
181,Cefepime,Bacterial Infections,4th Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
182,Cefetamet,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
183,Cefixime,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
184,Cefoperazone,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
185,Cefotaxime,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
186,Cefpirome,Bacterial Infections,4th Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
187,Cefpodoxime Proxetil,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
188,Cefprozil,Bacterial Infections,2nd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
189,Ceftazidime,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
190,Ceftizoxime,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
191,Ceftriaxone,Bacterial Infections,3rd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
192,Cefuroxime,Bacterial Infections,2nd Gen Cephalosporin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
193,Cefuroxime Axetil,Bacterial Infections,2nd Gen Cephalosporin Antibiotic (Prodrug),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
194,Celecoxib,"Pain, Inflammation (Arthritis)",Selective COX-2 Inhibitor (NSAID),0.5,9.4,4.8,"TA: Pain/inflammation, unrelated. Minimal score for link to chronic inflammation. MoA: COX inhibition."
195,Celiprolol,"Hypertension, Angina",Beta-1 Blocker / Beta-2 Agonist,5.2,9.8,7.2,"TA: Treats hypertension, a key comorbidity. MoA: Adrenergic modulation."
196,Centchroman,Contraception,Selective Estrogen Receptor Modulator (SERM),0,9.9,0,"TA: Contraception, unrelated. MoA: Estrogen receptor modulation."
197,Cerebroprotein Hydrolysate,"Stroke, TBI, Dementia",Neurotrophic Agent,0,9.9,0.6,"TA: Neurology, unrelated. MoA: Mixture of peptides with neuroprotective effects."
198,Cetilistat,Obesity,Pancreatic Lipase Inhibitor,10,7.5,10,TA: Direct indication for weight management. MoA: Peripheral inhibition of fat absorption.
199,Cetirizine,"Allergic Rhinitis, Urticaria",H1-Histamine Receptor Antagonist,0,9.7,0,"TA: Allergy, unrelated. MoA: Histamine antagonism."
200,Cetrorelix,Infertility Treatment,GnRH Antagonist,0,9.9,0,"TA: Reproductive medicine, unrelated. MoA: Modulation of the HPG axis."
201,Chlorambucil,"CLL, Lymphoma",Alkylating Agent,0,10,0,"TA: Oncology, unrelated. MoA: DNA alkylation."
202,Chloramphenicol,Bacterial Infections,Antibiotic (50S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
203,Chlordiazepoxide,"Anxiety, Alcohol Withdrawal",Benzodiazepine (GABA-A Receptor Modulator),1.1,9.6,0.5,"TA: Psychiatry, unrelated. Minimal score for anxiety/eating link. MoA: GABAergic modulation."
204,Chlorhexidine Gluconate,Antiseptic,Antiseptic,0,10,0,"TA: Disinfection, unrelated. MoA: Disrupts microbial cell membranes."
205,Chlormezanone,"Anxiety, Muscle Spasms",Anxiolytic/Muscle Relaxant,0,9.7,0.5,"TA: Psychiatry/neurology, unrelated. MoA: Unclear, CNS depressant."
206,Chloroquine,"Malaria, Autoimmune Diseases","Antimalarial, Immunomodulator",0.5,9.3,0.2,"TA: Infectious/autoimmune disease, unrelated. Minimal score for inflammation link. MoA: Interferes with parasite heme metabolism/lysosomal function."
207,Chlorpheniramine Maleate,"Allergic Rhinitis, Cold Symptoms",H1-Histamine Receptor Antagonist,0,9.7,0.8,"TA: Allergy, unrelated. MoA: Histamine antagonism."
208,Chlorpromazine,"Schizophrenia, Bipolar Disorder",Typical Antipsychotic (Dopamine Antagonist),1.6,9.6,3.5,"TA: Psychiatry, unrelated. Score reflects significant potential for weight gain. MoA: Dopamine antagonism."
209,Chlorthalidone,"Hypertension, Edema",Thiazide-like Diuretic,5.2,9.8,5.5,"TA: Treats hypertension, a key comorbidity. MoA: Inhibits sodium-chloride symporter in the kidney."
210,Chlorzoxazone,Muscle Spasms,Skeletal Muscle Relaxant,0,9.7,0,"TA: Musculoskeletal pain, unrelated. MoA: Acts on spinal cord/subcortical areas to inhibit reflexes."
211,Cholestyramine,Hypercholesterolemia,Bile Acid Sequestrant,5.6,8.3,6.5,"TA: Treats dyslipidemia, a key comorbidity. MoA: Binds bile acids in the intestine, preventing their reabsorption."
212,Choline,Nutritional Supplement,Essential Nutrient,0,10,0.9,"TA: Nutrition, unrelated. MoA: Precursor for acetylcholine, phospholipids."
213,Choline Theophyllinate,"Asthma, COPD",Bronchodilator (Theophylline salt),0,9.8,0,"TA: Respiratory disease, unrelated. MoA: PDE inhibition/adenosine antagonism."
214,Chondroitin,Osteoarthritis,Nutritional Supplement,0,10,4,"TA: Joint health, unrelated. MoA: Component of cartilage."
215,Ciclosporin,"Transplant Rejection, Autoimmune Diseases",Calcineurin Inhibitor,0.5,9.3,3.4,"TA: Immunology, unrelated. Minimal score for inflammation link. MoA: Immunosuppression via inhibition of T-cell activation."
216,Cilnidipine,Hypertension,Dihydropyridine Calcium Channel Blocker,5.2,9.8,5.4,"TA: Treats hypertension, a key comorbidity. MoA: Blocks L- and N-type calcium channels."
217,Cilostazol,Intermittent Claudication,PDE3 Inhibitor,3.3,9.8,4.5,"TA: Peripheral artery disease, a distant cardiovascular link. MoA: Antiplatelet and vasodilator."
218,Cimetidine,"Peptic Ulcers, GERD",H2-Histamine Receptor Antagonist,0,9.7,1.5,"TA: GI acid disorders, unrelated. MoA: Blocks histamine H2 receptors to reduce acid secretion."
219,Cinacalcet,Hyperparathyroidism,Calcimimetic,0.2,9.9,0,"TA: Endocrine (calcium metabolism), unrelated. MoA: Increases sensitivity of calcium-sensing receptors."
220,Cinitapride,"GERD, Functional Dyspepsia",5-HT4 Agonist / D2 Antagonist (Prokinetic),1.8,9.6,2.2,TA: GI motility. Minor symptomatic link to Wegovy's gastric emptying effect. MoA: Serotonergic/dopaminergic modulation.
221,Cinnarizine,"Motion Sickness, Vertigo","Antihistamine, Calcium Channel Blocker",0,9.7,0,"TA: Neurology/otology, unrelated. MoA: H1 antagonism and calcium channel blockade."
222,Ciprofloxacin,Bacterial Infections,Fluoroquinolone Antibiotic (DNA Gyrase Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial DNA replication."
223,Cisapride,GERD,Serotonin 5-HT4 Receptor Agonist,1.8,9.6,2,TA: GI motility. Minor symptomatic link to Wegovy's gastric emptying effect. MoA: Serotonergic modulation.
224,Cisatracurium,Surgical Muscle Relaxation,Non-depolarizing Neuromuscular Blocker,0,10,0,"TA: Anesthesiology, unrelated. MoA: Nicotinic acetylcholine receptor antagonism."
225,Cisplatin,Various Cancers,Alkylating Agent (Platinum-based),0,10,0,"TA: Oncology, unrelated. MoA: Forms DNA crosslinks."
226,Citalopram,"Depression, Anxiety",Selective Serotonin Reuptake Inhibitor (SSRI),1.3,9.7,1.2,"TA: Psychiatry, unrelated. Score reflects potential for weight changes. MoA: Serotonin reuptake inhibition."
227,Citicoline,"Stroke, Head Injury, Cognitive Decline",Nootropic (Choline/Cytidine Precursor),0,9.9,0.1,"TA: Neurology, unrelated. MoA: Promotes phospholipid synthesis."
228,Citric Acid,"Alkalinizing Agent, Food Additive",pH Modifier,0,10,0.1,TA: Unrelated. MoA: Chemical pH modification.
229,Clarithromycin,Bacterial Infections,Macrolide Antibiotic (50S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
230,Clemastine,Allergic Rhinitis,H1-Histamine Receptor Antagonist,0,9.7,0.8,"TA: Allergy, unrelated. MoA: Histamine antagonism."
231,Clidinium,"Peptic Ulcer, IBS",Anticholinergic,0,9.8,0.4,"TA: GI disorders, unrelated. MoA: Muscarinic antagonism."
232,Clindamycin,Bacterial Infections,Lincosamide Antibiotic (50S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
233,Clinidipine,Hypertension,Dihydropyridine Calcium Channel Blocker,5.2,9.8,5.4,"TA: Treats hypertension, a key comorbidity. MoA: Blocks L- and N-type calcium channels."
234,Clobazam,"Epilepsy, Anxiety",Benzodiazepine (GABA-A Receptor Modulator),0,9.6,0,"TA: Neurology/psychiatry, unrelated. MoA: GABAergic modulation."
235,Clobetasol,"Skin Disorders (e.g., Psoriasis, Eczema)",Potent Corticosteroid,0,9.9,0.2,"TA: Dermatology, unrelated. MoA: Topical glucocorticoid receptor agonism."
236,Clofarabine,Acute Lymphoblastic Leukemia (ALL),Purine Nucleoside Antimetabolite,0,10,0,"TA: Oncology, unrelated. MoA: Inhibits DNA synthesis."
237,Clofazimine,"Leprosy, Tuberculosis",Antimycobacterial,0,10,0,"TA: Infectious disease, unrelated. MoA: Binds to bacterial DNA."
238,Clomiphene,Female Infertility,Selective Estrogen Receptor Modulator (SERM),0,9.9,4.8,"TA: Reproductive medicine, unrelated. MoA: Estrogen receptor modulation."
239,Clomipramine,"Depression, OCD",Tricyclic Antidepressant (Serotonin Reuptake Inhibitor),1.5,9.7,2.5,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Monoamine reuptake inhibition."
240,Clonazepam,"Seizures, Panic Disorder",Benzodiazepine (GABA-A Receptor Modulator),1.1,9.6,0.5,"TA: Neurology/psychiatry, unrelated. Minimal score for anxiety/eating link. MoA: GABAergic modulation."
241,Clopidogrel,CV Event Prevention,Antiplatelet (P2Y12 Inhibitor),3.5,9.8,6.9,"TA: CV risk reduction, but different patient setting/goal. MoA: Antiplatelet aggregation."
242,Clotrimazole,Fungal Infections,Azole Antifungal,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of fungal ergosterol synthesis."
243,Cloxacillin,Bacterial Infections,Penicillinase-resistant Penicillin,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis."
244,Clozapine,Schizophrenia,Atypical Antipsychotic (Multi-receptor Antagonist),1.7,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects very high risk of weight gain and metabolic syndrome. MoA: Broad dopamine/serotonin antagonism."
245,Codeine,"Pain, Cough",Opioid Agonist,0,9.8,0.3,"TA: Pain/cough, unrelated. MoA: Opioid receptor agonism."
246,Coenzyme Q10,Nutritional Supplement,"Antioxidant, Cofactor",0.3,9.7,0.9,"TA: Supplement, unrelated. Minimal score for role in mitochondrial energy metabolism. MoA: Component of the electron transport chain."
247,Colchicine,"Gout, Familial Mediterranean Fever",Anti-inflammatory (Tubulin Polymerization Inhibitor),0.4,9.4,4.6,"TA: Gout is a metabolic disease, but distinct from obesity/T2DM. MoA: Anti-inflammatory action via microtubule disruption."
248,Colistin Sulphate,Bacterial Infections,Polymyxin Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Disrupts bacterial cell membranes."
249,Colloidal Bismuth Subcitrate,"Peptic Ulcers, H. pylori Infection",Antacid/Antimicrobial,0,10,0.3,"TA: GI disorders, unrelated. MoA: Coats ulcers and has bactericidal effects."
250,Colostrum,Nutritional Supplement,Nutritional Supplement,0,10,0.1,"TA: Nutrition, unrelated. MoA: Provides immune factors and nutrients."
251,Conivaptan,Hyponatremia,Vasopressin Receptor Antagonist,3.1,9.9,0,"TA: Electrolyte imbalance, often in context of heart/liver failure. MoA: Blocks vasopressin V1a/V2 receptors."
252,Conjugated Estrogens,"Menopause Symptoms, Osteoporosis",Estrogen Replacement Therapy,0.2,9.9,3.6,"TA: Hormone replacement, unrelated. MoA: Estrogen receptor agonism."
253,Coral Calcium,Calcium Supplement,Mineral Supplement,0,10,0.1,"TA: Nutrition, unrelated. MoA: Mineral supplementation."
254,Cyclandelate,Peripheral Vascular Disease,Vasodilator,3.3,9.8,4.4,"TA: Vascular disease, a distant cardiovascular link. MoA: Direct smooth muscle relaxant."
255,Cyclobenzaprine,Muscle Spasms,Skeletal Muscle Relaxant,0,9.7,0.6,"TA: Musculoskeletal pain, unrelated. MoA: Acts at the brain stem to reduce tonic somatic motor activity."
256,Cyclophosphamide,"Various Cancers, Autoimmune Diseases",Alkylating Agent,0,10,0,"TA: Oncology/immunology, unrelated. MoA: DNA alkylation."
257,Cycloserine,Tuberculosis,Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits bacterial cell wall synthesis."
258,Cyproheptadine,"Allergic Rhinitis, Appetite Stimulation","Antihistamine, Serotonin Antagonist",1.3,9.7,2.8,TA: Allergy/appetite stimulant. Score reflects appetite effect. MoA: H1 and serotonin receptor antagonism.
259,Cyproterone,"Prostate Cancer, Hirsutism","Antiandrogen, Progestin",0,9.9,1,"TA: Oncology/endocrinology, unrelated. MoA: Androgen receptor antagonism."
260,Cytarabine,Leukemia,Antineoplastic (Antimetabolite),0,10,0,"TA: Oncology, unrelated. MoA: Inhibits DNA synthesis."
261,Dabigatran Etexilate,Thromboembolism Prophylaxis/Treatment,Direct Thrombin Inhibitor,3.5,9.9,6.7,"TA: Anticoagulation, relevant to CV risk but different goal. MoA: Inhibition of a specific clotting factor."
262,Dacarbazine,"Melanoma, Hodgkin Lymphoma",Alkylating Agent,0,10,0,"TA: Oncology, unrelated. MoA: DNA alkylation."
263,Daclatasvir,Hepatitis C,NS5A Replication Complex Inhibitor,0.1,10,0,"TA: Infectious disease, unrelated. Minimal score for link to liver health. MoA: Inhibition of a viral-specific protein."
264,Dactinomycin,Various Cancers,Antineoplastic (Intercalating Agent),0,10,0,"TA: Oncology, unrelated. MoA: Intercalates into DNA and inhibits transcription."
265,Danazol,"Endometriosis, Fibrocystic Breast Disease",Synthetic Steroid (Weak Androgen),0,9.9,3.1,"TA: Gynecology, unrelated. MoA: Suppresses pituitary-ovarian axis."
266,Dapagliflozin,"Type 2 Diabetes, Heart Failure, CKD",SGLT2 Inhibitor,8.9,8,9.5,"TA: T2DM with strong indications for weight loss, CV risk reduction, and renal protection. MoA: Peripheral mechanism (renal glucose excretion)."
267,Dapoxetine,Premature Ejaculation,Selective Serotonin Reuptake Inhibitor (SSRI),0,9.7,0,"TA: Urological/sexual health, unrelated. MoA: Serotonin reuptake inhibition."
268,Daptomycin,Bacterial Infections,Lipopeptide Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Disrupts bacterial cell membrane function."
269,Darifenacin,Overactive Bladder,Anticholinergic (M3 Selective),0,9.8,0,"TA: Urological condition, unrelated. MoA: Muscarinic antagonism."
270,Darunavir,HIV/AIDS,Protease Inhibitor,0.1,10,0,"TA: Infectious disease, unrelated. Minimal score for known metabolic side effects. MoA: Inhibition of a viral enzyme."
271,Dasatinib,"CML, ALL","Tyrosine Kinase Inhibitor (BCR-ABL, Src)",0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition."
272,Daunorubicin,Leukemia,Anthracycline Antineoplastic,0,10,0,"TA: Oncology, unrelated. MoA: Intercalates into DNA."
273,Deca Peptide,Not a standard drug; likely cosmetic/supplement,Peptide,0,10,0,"TA: Unclear, likely cosmetic, unrelated. MoA: Unclear, likely topical signaling, unrelated."
274,Decitabine,Myelodysplastic Syndrome,Demethylation Agent (Nucleoside Analog),0,10,0,"TA: Oncology, unrelated. MoA: Incorporation into DNA to inhibit methyltransferase."
275,Deferasirox,Iron Overload,Iron Chelator,0,10,0,"TA: Hematology/toxicology, unrelated. MoA: Binds to and promotes excretion of iron."
276,Deflazacort,"Inflammation, Autoimmune Diseases",Corticosteroid,0.3,9.9,3.2,"TA: Inflammatory conditions, unrelated. MoA: Glucocorticoid receptor agonism."
277,Degarelix,Prostate Cancer,GnRH Antagonist,0,9.9,3,"TA: Oncology, unrelated. MoA: Modulation of the HPG axis."
278,Dehydroepiandrosterone,"Adrenal Insufficiency, Supplement",Steroid Hormone Precursor,0.2,9.9,1.1,"TA: Endocrine, unrelated. MoA: Precursor to androgens/estrogens."
